time, x_accel, z_accel, left_enc, right_enc
5754740, 62, 150, 5, 6
5756692, 70, 149, 5, 6
5758648, 77, 147, 5, 6
5760604, 85, 144, 5, 6
5762560, 93, 140, 5, 6
5764512, 100, 137, 5, 6
5766552, 106, 130, 5, 6
5768596, 112, 120, 5, 6
5770636, 117, 111, 5, 6
5772676, 124, 105, 5, 6
5774712, 130, 99, 5, 6
5776668, 137, 96, 5, 6
5778624, 143, 93, 5, 6
5780580, 149, 91, 5, 6
5782540, 157, 92, 4, 6
5784488, 163, 95, 4, 6
5786444, 170, 99, 4, 6
5788400, 176, 102, 4, 6
5790440, 182, 105, 4, 6
5792480, 188, 107, 4, 6
5794520, 194, 110, 4, 6
5796560, 202, 114, 4, 6
5798600, 209, 114, 4, 6
5800640, 215, 115, 4, 6
5802680, 222, 112, 4, 6
5804720, 227, 109, 4, 6
5806760, 233, 105, 4, 6
5808800, 238, 101, 4, 6
5810840, 244, 97, 4, 6
5812792, 250, 92, 4, 6
5814748, 256, 90, 4, 6
5816704, 262, 87, 4, 6
5818660, 270, 85, 4, 6
5820612, 276, 84, 4, 6
5822568, 282, 83, 4, 6
5824532, 287, 82, 4, 6
5826480, 293, 83, 4, 6
5828432, 299, 83, 4, 6
5830388, 305, 81, 4, 6
5832344, 311, 80, 4, 6
5834300, 316, 80, 4, 6
5836256, 322, 79, 4, 6
5838208, 327, 79, 4, 6
5840164, 333, 81, 4, 6
5842120, 338, 83, 4, 6
5844072, 343, 82, 4, 6
5846036, 350, 85, 4, 6
5847984, 355, 84, 4, 6
5849940, 362, 83, 4, 6
5851896, 367, 80, 4, 6
5853848, 373, 78, 4, 6
5855804, 378, 75, 4, 6
5857760, 383, 72, 4, 6
5859712, 387, 70, 4, 6
5861668, 392, 69, 4, 6
5863624, 397, 68, 4, 6
5865580, 404, 69, 4, 6
5867540, 410, 70, 4, 6
5869488, 415, 68, 4, 6
5871444, 422, 66, 4, 6
5873400, 428, 65, 4, 6
5875352, 433, 64, 4, 6
5877308, 438, 66, 4, 6
5879264, 444, 66, 4, 6
5881220, 449, 65, 4, 6
5883172, 455, 65, 4, 6
5885128, 461, 65, 4, 6
5887084, 467, 65, 4, 6
5889044, 473, 67, 4, 6
5890996, 478, 66, 4, 6
5892948, 484, 65, 4, 6
5894904, 490, 64, 4, 6
5896860, 498, 65, 4, 6
5898816, 502, 65, 4, 6
5900768, 507, 63, 4, 6
5902724, 513, 61, 4, 6
5904680, 518, 59, 4, 6
5906632, 524, 57, 4, 6
5908588, 530, 56, 4, 6
5910552, 537, 56, 4, 6
5912500, 543, 55, 4, 6
5914456, 549, 54, 4, 6
5916408, 555, 54, 4, 6
5918364, 559, 55, 4, 6
5920320, 564, 55, 4, 6
5922276, 569, 54, 4, 6
5924228, 574, 56, 4, 6
5926184, 581, 56, 4, 6
5928140, 587, 55, 4, 6
5930092, 594, 57, 4, 6
5932056, 601, 57, 4, 6
5934004, 606, 56, 4, 6
5935960, 611, 57, 4, 6
5937912, 617, 56, 4, 6
5939868, 622, 54, 4, 6
5941824, 629, 54, 4, 6
5943780, 635, 54, 4, 6
5945732, 640, 54, 4, 6
5947688, 644, 52, 4, 6
5949644, 650, 52, 4, 6
5951600, 655, 52, 4, 6
5953560, 660, 50, 4, 6
5955508, 665, 52, 4, 6
5957464, 671, 51, 4, 6
5959420, 678, 50, 4, 6
5961372, 683, 49, 4, 6
5963328, 688, 48, 4, 6
5965284, 693, 48, 4, 6
5967240, 697, 50, 4, 6
5969196, 702, 49, 4, 6
5971148, 708, 49, 4, 6
5973104, 712, 48, 4, 6
5975064, 717, 48, 4, 6
5977016, 722, 48, 4, 6
