time, x, z
1999252, 280, 89
2000696, 279, 90
2002140, 280, 90
2003588, 280, 89
2005032, 280, 90
2006476, 279, 89
2007920, 279, 89
2009368, 278, 89
2010812, 277, 90
2012256, 276, 89
2013700, 277, 89
2015148, 278, 88
2016592, 278, 90
2018036, 279, 90
2019480, 279, 90
2020928, 279, 91
2022372, 279, 90
2023816, 279, 89
2025260, 278, 89
2026708, 278, 89
2028152, 278, 90
2029600, 278, 89
2031040, 278, 89
2032488, 278, 90
2033932, 279, 90
2035376, 278, 91
2036824, 279, 91
2038268, 278, 92
2039712, 278, 92
2041156, 278, 90
2042600, 278, 90
2044048, 278, 90
2045492, 278, 90
2046936, 279, 90
2048380, 280, 90
2049828, 280, 90
2051272, 279, 90
2052716, 279, 91
2054164, 278, 91
2055608, 278, 92
2057052, 278, 92
2058496, 278, 91
2059940, 279, 92
2061392, 280, 91
2062832, 280, 91
2064276, 280, 90
2065720, 280, 91
2067168, 280, 91
2068616, 279, 92
2070056, 278, 92
2071500, 279, 91
2072948, 278, 90
2074392, 279, 89
2075836, 279, 90
2077280, 279, 90
2078732, 278, 90
2080172, 277, 89
2081616, 278, 90
2083060, 279, 91
2084508, 279, 90
2085952, 278, 90
2087396, 279, 90
2088840, 279, 90
2090288, 278, 90
2091732, 278, 91
2093176, 278, 91
2094620, 279, 91
2096068, 278, 90
2097512, 278, 90
2098956, 277, 90
2100400, 277, 90
2101848, 278, 91
2103292, 279, 92
2104736, 278, 92
2106180, 279, 93
2107628, 278, 92
2109072, 278, 91
2110520, 279, 91
2111960, 279, 91
2113408, 280, 91
2114852, 280, 91
2116296, 279, 91
2117744, 280, 93
2119188, 279, 92
2120632, 278, 92
2122076, 279, 92
2123520, 278, 92
2124968, 278, 91
2126412, 277, 90
2127856, 277, 90
2129300, 278, 91
2130748, 279, 91
2132192, 280, 91
2133636, 281, 91
2135080, 280, 92
2136528, 280, 92
2137972, 279, 91
2139416, 278, 91
2140860, 278, 92
2142312, 279, 92
2143752, 279, 91
2145196, 279, 91
2146640, 279, 90
2148088, 281, 91
2149532, 281, 91
2150976, 281, 91
2152420, 281, 93
2153868, 279, 91
2155312, 279, 91
2156756, 278, 91
2158200, 278, 90
2159648, 278, 91
2161092, 278, 91
2162536, 278, 91
2163984, 278, 90
2165428, 278, 89
2166872, 279, 90
2168316, 279, 90
2169760, 279, 89
2171208, 279, 90
2172652, 280, 89
2174096, 279, 89
2175540, 280, 89
2176988, 279, 88
2178432, 278, 88
2179876, 278, 88
2181320, 278, 88
2182768, 278, 89
2184216, 278, 89
2185656, 278, 90
2187100, 281, 90
2188548, 280, 90
2189992, 280, 90
2191440, 280, 91
2192880, 279, 89
2194328, 279, 89
2195772, 279, 89
2197216, 278, 88
2198664, 279, 89
2200108, 278, 88
2201552, 278, 89
2202996, 279, 90
2204440, 280, 90
2205888, 280, 91
2207332, 279, 90
2208784, 278, 90
2210220, 279, 90
2211668, 279, 91
2213112, 280, 91
2214556, 281, 92
2216000, 281, 95
2217448, 281, 93
2218892, 281, 91
2220336, 280, 91
2221780, 281, 90
2223232, 280, 90
2224672, 279, 89
2226116, 278, 89
2227560, 277, 89
2229008, 278, 89
2230452, 280, 89
2231896, 279, 90
2233340, 280, 90
2234788, 279, 91
2236232, 279, 91
2237676, 279, 91
2239120, 279, 92
2240568, 279, 92
2242012, 279, 91
2243456, 278, 91
2244900, 279, 92
2246348, 279, 91
2247792, 280, 91
2249236, 281, 91
2250680, 280, 91
2252128, 280, 92
2253572, 280, 91
2255016, 279, 90
2256460, 280, 90
2257908, 277, 90
2259352, 276, 90
2260796, 277, 91
2262240, 276, 91
2263688, 277, 91
2265136, 279, 91
2266576, 279, 92
2268020, 280, 92
2269468, 278, 93
2270912, 279, 93
2272360, 280, 91
2273800, 279, 91
2275248, 278, 91
2276692, 278, 91
2278136, 278, 91
2279580, 278, 92
2281028, 278, 92
2282472, 278, 92
2283916, 279, 91
2285360, 278, 91
2286808, 278, 92
2288252, 277, 92
2289696, 277, 92
2291140, 278, 92
2292588, 277, 91
2294032, 277, 92
2295476, 278, 92
2296920, 278, 93
2298368, 281, 94
2299812, 279, 92
2301256, 279, 91
2302700, 280, 91
2304148, 280, 90
2305592, 280, 91
2307036, 281, 91
2308480, 281, 90
2309928, 281, 91
2311372, 280, 91
2312816, 278, 93
2314264, 279, 92
2315708, 278, 92
2317152, 279, 92
2318600, 280, 92
2320040, 280, 92
2321488, 280, 92
2322932, 280, 91
2324376, 278, 92
2325820, 279, 92
2327268, 279, 91
2328712, 279, 90
2330156, 280, 89
2331600, 280, 89
2333048, 279, 89
2334492, 279, 89
2335936, 278, 89
2337380, 279, 90
2338832, 277, 89
2340272, 277, 89
2341716, 278, 89
2343160, 279, 89
2344608, 280, 89
2346056, 279, 89
2347496, 278, 89
2348940, 280, 89
2350388, 279, 88
2351832, 280, 89
2353280, 280, 89
2354720, 280, 89
2356168, 280, 90
2357612, 279, 91
2359056, 278, 91
2360500, 280, 91
2361948, 279, 91
2363396, 279, 92
2364836, 280, 92
2366280, 279, 91
2367728, 280, 91
2369172, 280, 91
2370616, 280, 92
2372060, 281, 93
2373508, 280, 93
2374952, 279, 93
2376396, 279, 93
2377840, 278, 91
2379288, 278, 90
2380732, 279, 89
2382176, 280, 89
2383620, 281, 90
2385068, 281, 90
2386512, 281, 90
2387956, 281, 90
2389400, 279, 90
2390848, 279, 90
2392292, 280, 91
2393736, 279, 91
2395184, 279, 91
2396628, 280, 91
2398072, 279, 90
2399516, 279, 89
2400960, 279, 90
2402408, 280, 90
2403852, 279, 90
2405296, 279, 90
2406740, 279, 90
2408188, 278, 90
2409632, 278, 90
2411076, 278, 91
2412520, 279, 91
2413968, 280, 90
2415412, 280, 90
2416856, 281, 89
2418300, 281, 89
2419752, 280, 88
2421192, 279, 88
2422636, 279, 88
2424080, 279, 89
2425528, 280, 90
2426976, 280, 89
2428416, 279, 90
2429860, 280, 90
2431308, 280, 90
2432752, 279, 90
2434196, 279, 91
2435640, 278, 91
2437088, 278, 92
2438532, 279, 91
2439976, 278, 90
2441420, 278, 90
2442868, 278, 90
2444312, 277, 90
2445756, 278, 90
2447200, 278, 89
2448648, 278, 90
2450092, 278, 91
2451536, 278, 91
2452980, 279, 93
2454428, 279, 93
2455872, 278, 93
2457316, 279, 91
2458760, 278, 91
2460208, 277, 92
2461652, 278, 91
2463096, 279, 90
2464540, 280, 89
2465988, 279, 91
2467432, 279, 91
2468884, 279, 91
2470320, 278, 91
2471768, 278, 92
2473212, 279, 91
2474656, 278, 91
2476104, 278, 92
2477548, 278, 91
2478992, 279, 91
2480436, 279, 90
2481880, 279, 91
2483328, 280, 91
2484772, 280, 90
2486216, 281, 92
2487660, 281, 90
2489108, 280, 90
2490552, 279, 90
2491996, 279, 90
2493448, 279, 90
2494888, 279, 90
2496332, 279, 92
2497776, 278, 93
2499220, 279, 93
2500672, 279, 92
2502112, 279, 92
2503556, 280, 91
2505000, 280, 91
2506448, 280, 92
2507896, 281, 92
2509336, 281, 91
2510780, 282, 91
2512228, 281, 90
2513672, 280, 89
2515116, 280, 90
2516560, 280, 89
2518008, 279, 90
2519452, 278, 90
2520896, 278, 90
2522340, 279, 90
2523788, 278, 89
2525232, 278, 90
2526676, 278, 90
2528120, 278, 90
2529568, 278, 89
2531012, 280, 89
2532456, 280, 89
2533900, 281, 90
2535348, 280, 91
